k,majorityvote time,majorityvote accuracy,averageminimumdistance mean time,averageminimumdistance mean accuracy,averageminimumdistance median time,averageminimumdistance median accuracy,weightedmajorityvote mean time,weightedmajorityvote mean accuracy,weightedmajorityvote median time, weightedmajorityvote median accuracy
66,13.719722,0.319,13.672895,0.189,15.148620,0.169,15.236198,0.357,14.469157,0.345
67,15.710203,0.320,12.235141,0.190,14.700409,0.169,14.197838,0.355,15.113207,0.345
68,14.016243,0.325,9.502026,0.185,8.430595,0.171,10.761903,0.355,12.126003,0.351
69,12.402983,0.324,6.254172,0.181,9.176244,0.167,8.321821,0.353,7.812667,0.352
70,6.963835,0.321,9.837205,0.188,7.264473,0.169,7.187671,0.355,6.609088,0.352
71,8.311862,0.321,8.076915,0.187,9.312412,0.167,8.490445,0.357,7.017025,0.347
72,8.982166,0.318,7.447814,0.186,9.685251,0.163,7.383207,0.355,8.713169,0.347
73,7.708738,0.316,8.738913,0.191,7.831010,0.163,8.562983,0.354,8.739211,0.348
74,8.107701,0.317,8.131216,0.189,8.958773,0.164,7.832816,0.355,7.937698,0.352
75,7.336205,0.318,9.872450,0.191,7.770308,0.165,7.557064,0.355,7.044001,0.351
76,5.751886,0.312,9.332196,0.193,9.502145,0.170,7.373343,0.355,7.452357,0.347
77,5.994040,0.312,10.046623,0.192,9.370670,0.167,7.338447,0.353,8.736607,0.347
78,7.395982,0.313,8.812551,0.194,8.776102,0.168,9.908200,0.353,6.878753,0.349
79,7.877113,0.307,9.749330,0.198,9.068400,0.169,8.663525,0.353,7.748437,0.342
80,6.572079,0.305,9.634434,0.195,7.217319,0.171,6.705473,0.353,7.698629,0.345
81,7.166169,0.305,12.545271,0.199,7.330535,0.172,7.072493,0.353,8.160606,0.346
82,7.867166,0.310,8.623066,0.192,8.560846,0.168,8.186623,0.351,7.936859,0.345
83,8.674558,0.309,7.345502,0.195,8.414772,0.169,6.431003,0.351,7.628433,0.344
84,8.098553,0.306,9.029182,0.197,5.795628,0.171,7.971367,0.352,8.009981,0.343
85,7.150918,0.307,8.099720,0.195,7.879710,0.167,6.858005,0.353,8.680999,0.345
86,6.672735,0.308,7.559256,0.197,8.361208,0.165,9.245592,0.353,6.501403,0.348
87,6.551764,0.314,7.924483,0.192,6.879045,0.167,8.329773,0.351,7.994002,0.343
88,5.361111,0.311,8.219946,0.191,9.538318,0.167,7.234499,0.351,9.264032,0.346
89,7.484101,0.309,9.571194,0.188,7.637604,0.169,8.432312,0.350,8.844156,0.345
90,5.860166,0.309,9.512323,0.190,8.505794,0.171,8.936327,0.349,7.977239,0.347
91,8.098092,0.309,11.447837,0.188,12.880603,0.169,11.356390,0.349,10.495388,0.347
92,8.433165,0.311,8.946916,0.192,7.170819,0.167,6.813488,0.352,7.503098,0.346
93,7.019100,0.309,8.531053,0.196,8.703960,0.167,9.237144,0.353,9.598964,0.346
94,8.624210,0.307,11.849163,0.200,7.502946,0.171,7.860119,0.355,7.901089,0.346
95,7.336603,0.309,6.902993,0.201,9.055036,0.171,8.681288,0.356,7.126068,0.348
96,9.436581,0.311,9.037494,0.205,7.206092,0.171,5.516626,0.353,10.767751,0.350
97,7.460547,0.309,9.840927,0.203,7.675756,0.174,7.131787,0.353,9.407300,0.351
98,7.229399,0.307,8.298940,0.203,9.138701,0.174,8.899437,0.354,6.917763,0.354
99,7.840997,0.309,8.755183,0.203,9.465907,0.175,7.658251,0.355,7.165107,0.352
