k,majorityvote time,majorityvote accuracy,averageminimumdistance mean time,averageminimumdistance mean accuracy,averageminimumdistance median time,averageminimumdistance median accuracy,weightedmajorityvote mean time,weightedmajorityvote mean accuracy,weightedmajorityvote median time, weightedmajorityvote median accuracy
66,1.682736,0.069,3.015615,0.083,2.474586,0.071,2.269976,0.101,2.249152,0.101
67,1.433520,0.069,2.683961,0.083,3.396453,0.071,3.036138,0.101,2.395396,0.101
68,1.467618,0.069,2.465242,0.083,2.007568,0.071,1.969855,0.101,1.834103,0.101
69,1.817124,0.069,2.325431,0.083,2.093748,0.071,2.328629,0.101,1.942674,0.101
70,1.397387,0.069,2.472285,0.083,2.137901,0.071,1.960152,0.101,2.012370,0.101
71,1.640482,0.069,2.458789,0.083,2.166610,0.071,2.149886,0.101,1.832644,0.101
72,1.673817,0.069,2.427290,0.083,2.838126,0.071,1.905087,0.101,1.862549,0.101
73,1.676540,0.069,2.517316,0.083,2.106044,0.071,1.920758,0.101,1.875529,0.101
74,1.533523,0.069,2.582877,0.083,2.250773,0.071,2.068484,0.101,1.840884,0.101
75,1.544271,0.069,2.429974,0.083,2.220836,0.071,1.907974,0.101,1.843494,0.101
76,1.568130,0.069,2.378805,0.083,2.158688,0.071,2.077835,0.101,1.851035,0.101
77,1.516364,0.069,2.419723,0.083,2.000744,0.071,1.854065,0.101,2.004065,0.103
78,1.558242,0.069,2.505016,0.083,2.134534,0.071,2.047128,0.101,1.827458,0.103
79,1.509744,0.068,2.320144,0.083,2.004707,0.071,2.100399,0.101,1.983525,0.103
80,1.643174,0.068,2.430724,0.083,2.130790,0.071,1.904697,0.101,1.847375,0.103
81,1.544554,0.068,2.441201,0.083,1.999591,0.071,1.952862,0.101,2.037699,0.103
82,1.547370,0.068,2.571614,0.083,2.106392,0.071,2.068792,0.101,2.007045,0.103
83,1.493909,0.068,2.375358,0.083,2.162197,0.071,1.868400,0.101,1.837514,0.103
84,1.662150,0.068,2.409377,0.083,2.123026,0.071,2.199690,0.101,2.564008,0.103
85,1.425501,0.067,4.652161,0.083,3.205261,0.071,2.593910,0.101,2.411070,0.103
86,1.607776,0.067,3.950609,0.083,2.642417,0.071,2.662665,0.101,2.615547,0.103
87,2.373789,0.067,2.700659,0.083,2.376659,0.071,2.266438,0.101,2.064241,0.103
88,1.596343,0.067,2.839455,0.083,2.193976,0.071,2.208373,0.101,2.389606,0.103
89,1.865807,0.067,2.827568,0.083,2.627466,0.071,2.765537,0.101,2.146028,0.103
90,1.811879,0.067,3.232156,0.083,2.684295,0.071,2.015854,0.101,1.951396,0.103
91,1.848697,0.067,3.298255,0.083,2.771575,0.071,2.677372,0.101,2.536646,0.103
92,1.857482,0.067,3.302551,0.083,2.711193,0.071,2.608960,0.101,2.606606,0.103
93,1.889119,0.067,3.335552,0.083,2.799421,0.071,2.678378,0.101,2.594443,0.103
94,1.916290,0.067,3.271400,0.083,2.756288,0.071,2.758499,0.101,2.610247,0.103
95,1.890331,0.067,3.422045,0.083,2.860864,0.071,2.825766,0.101,2.643167,0.103
96,1.956226,0.067,3.282331,0.083,2.860660,0.071,2.710353,0.101,2.627106,0.103
97,1.876805,0.067,3.326594,0.083,2.987140,0.071,2.745182,0.101,2.762794,0.103
98,1.914066,0.067,2.691032,0.083,2.513247,0.071,2.651288,0.101,2.552470,0.103
99,1.662594,0.067,2.777394,0.083,2.221123,0.071,2.990415,0.101,2.610991,0.103
