k,majorityvote time,majorityvote accuracy,averageminimumdistance mean time,averageminimumdistance mean accuracy,averageminimumdistance median time,averageminimumdistance median accuracy,weightedmajorityvote mean time,weightedmajorityvote mean accuracy,weightedmajorityvote median time, weightedmajorityvote median accuracy
66,2.290479,0.321,1.296176,0.158,1.047485,0.127,0.810612,0.363,0.794540,0.341
67,2.603607,0.324,1.268867,0.159,1.033907,0.131,0.781194,0.366,0.739043,0.342
68,2.474216,0.322,1.446504,0.160,1.056778,0.129,0.791825,0.367,0.730089,0.340
69,2.552721,0.319,1.379844,0.159,1.034942,0.127,0.796338,0.366,0.741655,0.341
70,2.326203,0.320,1.499654,0.165,1.040757,0.129,0.829717,0.365,0.753160,0.339
71,2.590762,0.323,1.364614,0.162,1.060068,0.123,0.824802,0.363,0.784467,0.336
72,2.370325,0.325,1.541595,0.161,1.031468,0.127,0.791783,0.363,0.778625,0.339
73,2.332103,0.323,1.537345,0.162,1.057575,0.126,0.797358,0.363,0.750475,0.336
74,2.415672,0.318,1.462603,0.164,1.108041,0.129,0.766606,0.360,0.777777,0.337
75,2.319791,0.316,1.405266,0.165,1.050082,0.131,0.790077,0.359,0.759809,0.340
76,2.564706,0.313,1.523963,0.164,1.072406,0.131,0.796888,0.358,0.783609,0.340
77,2.334750,0.313,1.457681,0.164,1.056545,0.132,0.771623,0.356,0.758578,0.343
78,2.913941,0.311,1.518185,0.163,1.082047,0.133,0.791687,0.356,0.745925,0.343
79,2.639518,0.315,1.481868,0.162,1.069874,0.132,0.781048,0.355,0.806677,0.346
80,2.323135,0.315,1.393568,0.166,1.035350,0.130,0.774565,0.354,0.809288,0.342
81,2.327246,0.315,1.409833,0.169,1.089240,0.130,0.810508,0.353,0.806862,0.342
82,2.799588,0.315,1.593442,0.168,1.106561,0.131,0.787823,0.352,0.761863,0.341
83,2.813091,0.318,1.524365,0.169,1.081643,0.134,0.769555,0.353,0.814332,0.343
84,2.790591,0.320,1.619345,0.166,1.100760,0.137,0.809093,0.350,0.752181,0.341
85,2.416883,0.317,1.490867,0.173,1.071207,0.137,0.780108,0.351,0.767963,0.341
86,2.269096,0.317,1.425335,0.175,1.086820,0.144,0.805283,0.353,0.808271,0.339
87,2.341810,0.315,1.477048,0.175,1.070614,0.141,0.813194,0.353,0.817501,0.340
88,2.322328,0.317,1.629719,0.182,1.081197,0.145,0.818189,0.354,0.770741,0.342
89,2.426201,0.315,1.395751,0.178,1.124752,0.141,0.796145,0.354,0.788270,0.337
90,2.404825,0.315,1.481944,0.181,1.064663,0.144,0.824359,0.353,0.797128,0.337
91,2.343094,0.316,1.493541,0.180,1.058846,0.144,0.811012,0.350,0.756746,0.333
92,2.562148,0.318,1.483002,0.180,1.148347,0.147,0.851602,0.351,0.817286,0.333
93,2.670746,0.317,1.418460,0.177,1.087880,0.145,0.791113,0.349,0.789380,0.333
94,2.369158,0.315,1.576498,0.179,1.063256,0.145,0.811027,0.350,0.793105,0.337
95,2.369552,0.313,1.409756,0.184,1.054395,0.144,0.812406,0.350,0.748011,0.340
96,2.312076,0.315,1.402203,0.184,1.124048,0.147,0.794267,0.351,0.773792,0.341
97,2.316654,0.312,1.534943,0.183,1.106331,0.148,0.866279,0.352,0.768140,0.337
98,2.369012,0.310,1.441580,0.187,1.120273,0.148,0.841565,0.352,0.755418,0.334
99,2.367040,0.311,1.509713,0.185,1.108273,0.148,0.789364,0.351,0.841583,0.333
