k,majorityvote time,majorityvote accuracy,averageminimumdistance mean time,averageminimumdistance mean accuracy,averageminimumdistance median time,averageminimumdistance median accuracy,weightedmajorityvote mean time,weightedmajorityvote mean accuracy,weightedmajorityvote median time, weightedmajorityvote median accuracy
66,1.305133,0.281,2.644426,0.212,2.284498,0.177,2.212984,0.341,2.226344,0.327
67,1.255895,0.277,2.539338,0.212,2.205691,0.179,3.047230,0.339,2.137338,0.328
68,1.451729,0.278,3.414181,0.211,2.495856,0.175,2.342107,0.337,2.583828,0.329
69,1.281613,0.278,2.630349,0.210,2.213165,0.167,2.167387,0.333,2.283476,0.332
70,1.279087,0.278,2.580319,0.213,2.219749,0.169,2.155178,0.335,3.026237,0.333
71,1.281537,0.275,2.555966,0.212,2.230361,0.175,2.158632,0.333,2.187680,0.332
72,1.275616,0.277,2.589921,0.212,2.228395,0.175,2.165972,0.331,2.115312,0.331
73,1.207657,0.273,2.567507,0.218,2.264979,0.180,2.199079,0.331,2.184320,0.327
74,1.299667,0.272,2.678780,0.217,2.340576,0.176,2.255183,0.333,2.327522,0.325
75,1.245464,0.273,2.509885,0.212,2.462017,0.175,2.420454,0.334,2.381766,0.323
76,1.467145,0.271,2.634924,0.217,2.321701,0.178,2.280562,0.333,2.243768,0.325
77,1.214184,0.277,2.532795,0.211,2.343817,0.177,2.293458,0.331,2.234053,0.323
78,1.269586,0.275,2.568937,0.214,2.309450,0.177,2.271781,0.329,2.284839,0.321
79,1.296798,0.276,2.581236,0.214,2.322599,0.177,2.222067,0.329,2.213231,0.321
80,1.308245,0.272,2.531355,0.215,2.357818,0.180,2.326548,0.329,2.285662,0.321
81,1.264862,0.271,2.611816,0.216,2.311794,0.183,2.260162,0.329,2.235207,0.316
82,1.262211,0.271,3.299648,0.222,3.603658,0.186,2.291599,0.329,2.266807,0.314
83,1.186789,0.269,2.865316,0.221,2.479549,0.190,2.590160,0.327,2.411125,0.313
84,1.372864,0.267,2.939226,0.219,2.706133,0.181,2.330623,0.327,2.449975,0.312
85,1.236914,0.267,3.312065,0.214,2.566002,0.175,2.258196,0.325,2.424510,0.315
86,1.435112,0.269,2.620706,0.210,2.328119,0.178,2.258164,0.327,2.213696,0.313
87,1.274770,0.266,2.601670,0.217,2.436940,0.176,2.351841,0.326,2.299894,0.316
88,1.340148,0.265,2.677178,0.218,2.482212,0.173,2.247592,0.325,2.758645,0.314
89,1.415297,0.267,3.007297,0.221,2.681520,0.173,2.239016,0.327,2.256900,0.313
90,1.270137,0.265,2.697992,0.218,2.360112,0.174,2.276882,0.326,2.265534,0.315
91,1.206040,0.263,2.528664,0.219,2.356000,0.173,2.329740,0.325,2.273179,0.315
92,1.243772,0.265,3.043007,0.221,2.530202,0.167,2.253613,0.322,2.223438,0.316
93,1.282477,0.264,2.864389,0.218,2.393165,0.165,2.300351,0.322,2.269466,0.315
94,1.271750,0.263,2.707690,0.220,2.320398,0.166,2.306761,0.324,2.280640,0.315
95,1.284425,0.267,2.727032,0.222,2.385652,0.163,2.283859,0.325,2.281167,0.316
96,1.222870,0.265,2.558061,0.224,2.372618,0.164,2.300789,0.325,2.261619,0.319
97,1.290103,0.266,5.062797,0.226,2.534549,0.165,2.326339,0.324,2.884617,0.317
98,1.624070,0.269,2.808332,0.224,2.403397,0.162,2.335138,0.323,2.274847,0.315
99,1.914578,0.268,3.992138,0.221,4.964738,0.165,3.230972,0.321,4.748298,0.315
