k,majorityvote time,majorityvote accuracy,averageminimumdistance mean time,averageminimumdistance mean accuracy,averageminimumdistance median time,averageminimumdistance median accuracy,weightedmajorityvote mean time,weightedmajorityvote mean accuracy,weightedmajorityvote median time, weightedmajorityvote median accuracy
66,3.665144,0.253,4.201875,0.202,3.550754,0.152,3.781817,0.328,3.899625,0.306
67,2.905278,0.254,4.421995,0.205,3.599157,0.153,3.939380,0.327,3.668805,0.305
68,3.374436,0.253,4.046503,0.207,3.975004,0.160,4.029515,0.329,3.935557,0.306
69,2.971928,0.253,4.548857,0.209,3.611966,0.159,3.830347,0.326,4.007927,0.307
70,3.380591,0.256,4.499897,0.201,4.255632,0.156,3.459047,0.324,3.448643,0.309
71,3.455376,0.255,4.254581,0.204,3.627063,0.159,3.707041,0.324,4.069243,0.307
72,3.078180,0.254,4.717309,0.201,4.290190,0.162,4.018370,0.323,3.983777,0.306
73,3.551709,0.253,4.448225,0.199,3.856461,0.159,3.502025,0.323,3.373419,0.308
74,3.293334,0.251,3.933009,0.199,3.696180,0.164,4.023867,0.324,3.883712,0.310
75,3.343670,0.249,4.595656,0.198,3.937150,0.165,3.618172,0.325,3.854306,0.311
76,2.800737,0.249,4.553868,0.200,3.632960,0.163,3.964291,0.325,4.071759,0.311
77,3.420474,0.249,4.621319,0.200,4.168164,0.163,3.695816,0.323,3.499571,0.313
78,3.299304,0.247,3.889528,0.203,3.591957,0.165,3.921181,0.321,3.923927,0.314
79,3.591935,0.247,4.629494,0.204,4.228537,0.169,3.598132,0.324,3.830657,0.312
80,3.228270,0.243,4.762312,0.201,4.297413,0.167,4.046264,0.324,4.106071,0.312
81,3.417279,0.245,4.521707,0.201,3.680002,0.168,3.586446,0.321,4.306932,0.313
82,3.261233,0.245,4.270266,0.198,4.333455,0.169,4.141308,0.319,4.047292,0.315
83,3.592327,0.245,4.643791,0.200,3.926966,0.169,3.612557,0.319,3.792229,0.315
84,3.534486,0.242,4.702375,0.199,4.303395,0.169,4.057920,0.319,4.051616,0.317
85,3.393594,0.241,4.701131,0.201,4.270783,0.171,3.596598,0.319,3.543466,0.313
86,3.655262,0.244,4.721125,0.199,3.718126,0.173,3.566762,0.317,4.237157,0.312
87,3.476253,0.243,5.448753,0.199,4.874915,0.169,4.196293,0.319,4.020625,0.311
88,3.933980,0.243,4.167215,0.204,3.689222,0.173,5.144287,0.319,4.076760,0.309
89,3.530997,0.240,4.639678,0.203,3.861341,0.171,3.596037,0.319,5.129763,0.311
90,3.430956,0.238,4.164478,0.198,3.664754,0.169,4.535223,0.319,5.030921,0.314
91,3.620819,0.238,3.994569,0.197,5.248268,0.166,4.589093,0.320,4.143646,0.315
92,2.919284,0.239,4.883757,0.191,4.393743,0.163,4.162322,0.319,4.069326,0.309
93,3.442754,0.238,4.872194,0.197,3.752891,0.165,3.541436,0.319,4.333001,0.311
94,3.468155,0.239,4.592212,0.197,3.792523,0.162,3.623767,0.315,4.796877,0.309
95,3.529863,0.239,4.578556,0.197,3.884949,0.163,3.623414,0.315,3.513083,0.305
96,3.423146,0.239,4.535294,0.193,3.866055,0.161,3.528095,0.313,4.277030,0.307
97,4.666183,0.239,4.638698,0.195,4.198587,0.160,3.548213,0.313,3.883936,0.305
98,3.600555,0.237,4.685853,0.195,3.746393,0.157,3.618711,0.312,5.072949,0.301
99,3.501845,0.237,4.731268,0.199,3.965385,0.162,3.589217,0.313,3.801031,0.304
