k,majorityvote time,majorityvote accuracy,averageminimumdistance mean time,averageminimumdistance mean accuracy,averageminimumdistance median time,averageminimumdistance median accuracy,weightedmajorityvote mean time,weightedmajorityvote mean accuracy,weightedmajorityvote median time, weightedmajorityvote median accuracy
66,1.203243,0.101,2.015938,0.079,1.818228,0.068,1.768022,0.115,1.791422,0.116
67,1.462351,0.103,2.007407,0.079,1.815577,0.068,1.724518,0.115,2.413601,0.115
68,1.299853,0.104,2.521733,0.079,2.171329,0.068,2.110946,0.117,1.982618,0.115
69,1.334039,0.103,2.548110,0.081,2.142212,0.069,2.076809,0.117,2.046552,0.115
70,1.843128,0.103,2.484712,0.081,2.024478,0.071,1.756461,0.116,1.736572,0.116
71,1.416587,0.101,2.446225,0.081,1.818431,0.071,1.958599,0.117,1.736098,0.115
72,1.422194,0.099,2.488596,0.082,2.163559,0.071,2.062901,0.116,2.020384,0.117
73,1.852111,0.099,2.400498,0.083,2.130676,0.073,1.974837,0.116,1.749395,0.117
74,1.439510,0.099,2.555467,0.083,2.154953,0.072,1.965087,0.116,1.713132,0.117
75,1.445198,0.099,2.523551,0.083,2.120445,0.070,2.069937,0.117,2.039375,0.117
76,1.563949,0.100,2.546990,0.083,2.165919,0.069,2.091602,0.118,2.042536,0.117
77,1.769244,0.099,2.460018,0.083,2.091722,0.069,1.779600,0.117,1.737186,0.117
78,1.359920,0.098,2.482624,0.083,2.033217,0.069,1.755127,0.116,1.735010,0.118
79,1.483254,0.097,2.640950,0.083,2.186449,0.069,2.072994,0.116,2.031363,0.118
80,1.870914,0.097,2.541604,0.083,2.081473,0.068,2.101352,0.116,1.759985,0.115
81,1.403617,0.097,2.534648,0.083,2.187150,0.067,1.969606,0.116,1.755224,0.116
82,1.352645,0.097,2.519898,0.084,2.222029,0.067,2.085901,0.116,2.065615,0.115
83,1.806559,0.096,2.579720,0.084,2.242928,0.067,2.102425,0.116,2.090873,0.115
84,1.801025,0.096,2.464824,0.085,2.085320,0.067,1.818883,0.116,1.720158,0.113
85,1.424205,0.094,2.331642,0.085,1.831359,0.067,1.783989,0.116,1.781711,0.115
86,1.443799,0.094,2.584952,0.084,2.142828,0.067,2.070934,0.115,1.926703,0.116
87,1.389754,0.094,2.529489,0.084,2.211022,0.069,2.160760,0.115,2.069813,0.115
88,1.446839,0.095,2.542803,0.085,2.178155,0.071,2.093906,0.115,2.029092,0.115
89,1.428227,0.095,2.559519,0.087,2.124027,0.071,2.108202,0.115,2.064302,0.116
90,1.512313,0.096,2.608865,0.087,2.239438,0.071,2.163753,0.115,2.111355,0.115
91,1.414979,0.096,2.512221,0.088,2.130476,0.071,2.114296,0.115,2.067456,0.114
92,1.375737,0.096,2.525103,0.086,2.175757,0.071,2.053668,0.115,2.073081,0.113
93,1.396202,0.097,2.546673,0.087,2.225719,0.071,2.179986,0.115,2.103201,0.115
94,1.424587,0.097,2.566111,0.087,2.147184,0.072,2.163662,0.115,2.063150,0.117
95,1.445358,0.098,2.589879,0.087,2.227488,0.073,2.117615,0.115,2.095147,0.115
96,1.408753,0.098,2.580981,0.086,2.248927,0.073,2.161991,0.117,2.080913,0.114
97,1.442213,0.097,2.535315,0.087,2.174071,0.073,2.134396,0.117,2.097873,0.115
98,1.462039,0.098,2.594170,0.087,2.255684,0.073,2.127060,0.117,2.116244,0.115
99,1.413299,0.101,2.594210,0.087,2.173097,0.073,2.140400,0.116,2.082189,0.117
