k,majorityvote time,majorityvote accuracy,averageminimumdistance mean time,averageminimumdistance mean accuracy,averageminimumdistance median time,averageminimumdistance median accuracy,weightedmajorityvote mean time,weightedmajorityvote mean accuracy,weightedmajorityvote median time, weightedmajorityvote median accuracy
66,4.505964,0.145,7.210509,0.100,7.297364,0.087,6.087261,0.194,6.632341,0.157
67,3.668808,0.145,7.935403,0.099,7.382493,0.087,6.085236,0.195,7.185381,0.156
68,5.331500,0.149,7.853546,0.098,7.858308,0.087,6.605917,0.194,6.512727,0.152
69,3.947967,0.148,8.020202,0.100,6.626254,0.089,5.999920,0.193,7.115958,0.153
70,3.549426,0.149,8.188499,0.100,6.323643,0.091,6.450538,0.195,7.973302,0.155
71,4.836305,0.150,7.135273,0.101,6.361686,0.093,6.802857,0.193,5.942917,0.154
72,3.535534,0.149,7.987039,0.105,6.514315,0.093,7.721308,0.195,7.169767,0.153
73,3.715921,0.148,7.471905,0.105,7.276057,0.092,6.981150,0.195,7.092527,0.154
74,4.796229,0.149,6.269509,0.105,5.800097,0.092,7.211464,0.195,8.694701,0.155
75,4.314557,0.149,6.226836,0.105,7.104984,0.091,6.495451,0.195,7.181435,0.153
76,4.723980,0.148,7.306704,0.107,7.531348,0.092,7.828508,0.195,5.062559,0.158
77,3.432148,0.148,6.660822,0.105,5.353203,0.089,5.675789,0.194,5.965432,0.156
78,3.445597,0.149,5.847358,0.105,6.730982,0.089,6.965201,0.194,6.487749,0.159
79,3.887817,0.147,7.167007,0.105,8.009107,0.093,6.910928,0.193,6.359354,0.159
80,3.706439,0.148,7.803129,0.103,7.056049,0.093,5.987478,0.195,7.072376,0.159
81,5.064872,0.146,7.324563,0.103,7.320104,0.091,6.369968,0.195,7.070443,0.160
82,4.353522,0.146,8.789360,0.104,8.165580,0.091,7.314499,0.195,6.274542,0.161
83,4.826490,0.145,8.377819,0.102,6.834680,0.091,6.693042,0.197,7.713803,0.163
84,3.727527,0.147,7.984580,0.102,6.672644,0.090,6.138114,0.195,7.726598,0.161
