k,majorityvote time,majorityvote accuracy,averageminimumdistance mean time,averageminimumdistance mean accuracy,averageminimumdistance median time,averageminimumdistance median accuracy,weightedmajorityvote mean time,weightedmajorityvote mean accuracy,weightedmajorityvote median time, weightedmajorityvote median accuracy
71,3.733228,0.311,4.222373,0.165,4.911552,0.137,4.212314,0.360,5.017499,0.340
72,3.000205,0.313,4.573442,0.163,3.189161,0.136,4.453134,0.360,4.155320,0.337
73,3.854948,0.315,5.086534,0.160,3.659288,0.135,4.337802,0.359,4.242699,0.337
74,2.906161,0.315,5.297774,0.168,4.596489,0.132,3.916026,0.361,4.315711,0.337
75,3.669724,0.315,7.705463,0.171,7.327149,0.135,7.050046,0.360,5.599974,0.337
76,3.962520,0.317,6.524007,0.173,6.473868,0.137,5.184701,0.361,5.124048,0.340
77,3.162537,0.313,7.205433,0.179,6.286136,0.141,6.438223,0.361,4.554837,0.343
78,3.405973,0.312,7.065823,0.177,6.985857,0.142,6.342075,0.361,5.850849,0.345
79,4.646103,0.316,7.855219,0.173,5.491537,0.137,5.338583,0.361,5.468548,0.343
80,5.596369,0.315,7.926563,0.173,6.579014,0.133,6.562677,0.360,5.968044,0.347
81,4.086316,0.316,7.062999,0.172,5.033512,0.137,4.743704,0.359,5.446760,0.346
82,3.466471,0.314,7.162126,0.174,6.593430,0.138,5.613328,0.358,6.065038,0.345
83,3.469435,0.312,6.382355,0.177,7.676801,0.137,6.396571,0.359,6.110922,0.345
84,3.879425,0.317,7.045127,0.175,6.770282,0.138,6.749331,0.360,6.698279,0.343
85,3.074384,0.317,6.407332,0.175,7.284030,0.137,6.236450,0.360,5.849124,0.341
86,3.135186,0.315,6.753839,0.177,5.925444,0.134,7.057549,0.360,4.941102,0.339
87,3.850448,0.317,5.841114,0.176,6.798456,0.135,7.144610,0.359,6.716741,0.334
88,3.390272,0.318,7.231339,0.176,6.673912,0.134,6.338093,0.357,5.975418,0.335
89,3.423487,0.321,6.736668,0.176,5.845333,0.138,4.809917,0.357,5.214860,0.335
90,2.939861,0.319,6.356919,0.179,5.476096,0.135,5.737198,0.357,7.214731,0.335
91,3.551321,0.320,5.136904,0.182,6.425320,0.138,6.884806,0.357,5.461278,0.338
92,3.650124,0.319,6.465630,0.184,6.505179,0.137,7.088973,0.356,6.762679,0.337
93,3.999540,0.319,6.705752,0.187,6.568496,0.132,6.429333,0.355,6.442280,0.338
94,3.586207,0.317,6.237824,0.189,5.881459,0.133,8.824548,0.354,6.807775,0.339
95,4.927235,0.315,6.838984,0.185,8.842091,0.137,10.172139,0.352,6.763726,0.339
96,3.908184,0.319,6.821184,0.188,8.429595,0.137,7.258935,0.351,6.572340,0.341
97,2.589159,0.319,8.382713,0.183,6.254847,0.135,4.881877,0.355,7.740657,0.339
98,2.736961,0.318,7.083977,0.185,5.674612,0.139,5.350475,0.353,8.998274,0.338
99,3.088822,0.317,7.125297,0.186,6.670996,0.137,5.699738,0.353,5.380045,0.337
