k,majorityvote time,majorityvote accuracy,averageminimumdistance mean time,averageminimumdistance mean accuracy,averageminimumdistance median time,averageminimumdistance median accuracy,weightedmajorityvote mean time,weightedmajorityvote mean accuracy,weightedmajorityvote median time, weightedmajorityvote median accuracy
74,5.589189,0.150,8.419076,0.104,8.991987,0.092,9.441112,0.195,6.328544,0.155
75,4.543567,0.150,10.258467,0.105,9.016747,0.091,7.950575,0.195,7.389067,0.153
76,5.238215,0.149,9.470460,0.107,9.280047,0.092,7.379697,0.195,9.058603,0.158
77,4.676365,0.149,8.885760,0.106,8.029701,0.089,7.743582,0.194,8.371479,0.156
78,4.233325,0.149,9.919072,0.105,8.695197,0.089,8.954203,0.194,9.076126,0.159
79,5.156261,0.147,9.835938,0.105,8.883615,0.093,9.333152,0.193,9.086070,0.159
80,4.441143,0.149,8.657220,0.104,9.511909,0.093,8.810541,0.195,9.726234,0.159
81,5.440205,0.147,9.071844,0.104,10.098745,0.091,6.759450,0.195,7.821189,0.160
82,5.533823,0.146,8.924419,0.105,8.489249,0.091,7.655239,0.195,8.579723,0.161
83,6.126413,0.145,7.174703,0.102,10.019329,0.091,10.258039,0.197,9.123092,0.162
84,4.206772,0.147,8.745074,0.103,9.897830,0.090,9.597971,0.196,8.731718,0.161
85,4.712243,0.145,9.073796,0.101,7.172373,0.088,9.197392,0.197,9.432607,0.158
86,5.608418,0.145,9.230340,0.102,9.956578,0.089,7.574195,0.197,9.362671,0.157
87,4.725244,0.148,9.998849,0.103,9.886413,0.089,8.786700,0.197,9.200162,0.158
88,5.640584,0.150,9.494211,0.105,10.329325,0.090,8.804334,0.197,9.350163,0.156
89,4.575322,0.151,12.119518,0.106,10.197335,0.089,9.423672,0.197,8.968674,0.155
90,4.931292,0.147,9.751793,0.105,7.068290,0.089,8.952870,0.197,9.266759,0.160
91,4.252547,0.147,11.863624,0.107,7.478235,0.091,7.777576,0.198,10.392158,0.162
92,6.005882,0.146,8.326121,0.106,8.970187,0.091,9.138758,0.197,9.970479,0.165
93,4.869582,0.147,9.185296,0.107,7.713722,0.091,9.480372,0.197,9.603115,0.164
94,5.025474,0.147,9.206651,0.108,8.590223,0.092,8.035134,0.197,8.180451,0.162
95,5.681277,0.145,9.550015,0.110,8.668427,0.094,9.301571,0.196,7.913105,0.164
96,5.116713,0.147,9.553635,0.109,9.094428,0.095,7.856524,0.195,7.949694,0.163
97,4.665873,0.144,9.550650,0.111,9.188319,0.094,9.028383,0.193,8.978619,0.162
98,5.872588,0.143,9.018115,0.112,10.329219,0.094,9.888554,0.194,8.787588,0.163
99,6.354726,0.139,8.969920,0.113,8.525857,0.095,10.122552,0.196,8.174087,0.160
