k,majorityvote time,majorityvote accuracy,averageminimumdistance mean time,averageminimumdistance mean accuracy,averageminimumdistance median time,averageminimumdistance median accuracy,weightedmajorityvote mean time,weightedmajorityvote mean accuracy,weightedmajorityvote median time, weightedmajorityvote median accuracy
66,12.021113,0.149,13.555716,0.215,17.583456,0.187,15.169854,0.233,15.689347,0.223
67,13.755563,0.144,14.719785,0.213,15.543631,0.186,14.769670,0.230,15.630710,0.223
68,11.619623,0.144,14.358380,0.214,14.506366,0.185,15.910128,0.228,16.184706,0.224
69,14.931308,0.144,9.052713,0.217,10.192966,0.185,8.659985,0.227,9.595218,0.222
70,8.378036,0.144,10.698796,0.221,11.444468,0.185,9.464351,0.226,11.086596,0.219
71,8.839058,0.144,9.687417,0.219,9.112114,0.185,8.384419,0.227,8.683611,0.217
72,9.321810,0.145,10.384719,0.218,10.317300,0.185,10.372985,0.224,10.590988,0.217
73,9.281894,0.143,11.210761,0.217,10.201366,0.185,9.724460,0.225,7.957468,0.219
74,8.932376,0.144,9.927222,0.217,9.695326,0.186,9.178662,0.223,8.338626,0.212
75,9.704005,0.142,10.530882,0.221,10.216985,0.188,9.418581,0.223,9.805542,0.212
76,9.104902,0.141,10.663589,0.215,10.573957,0.184,8.618913,0.222,10.144618,0.215
77,9.360540,0.139,11.149770,0.212,11.300300,0.183,10.360303,0.222,9.813783,0.215
78,8.323067,0.139,10.892453,0.212,9.423740,0.185,11.098071,0.221,7.974433,0.215
79,9.119434,0.139,11.983478,0.211,10.504979,0.184,10.215836,0.219,9.991673,0.215
80,9.320870,0.135,10.154807,0.209,8.715014,0.183,8.410921,0.219,11.221139,0.213
81,10.042345,0.135,10.605959,0.208,9.412634,0.182,11.335643,0.220,8.790824,0.211
82,7.984751,0.135,10.705449,0.213,10.076777,0.174,9.515248,0.221,9.392398,0.212
83,9.551288,0.134,11.379369,0.213,10.539285,0.173,11.714726,0.220,9.870829,0.211
84,9.847079,0.136,10.939048,0.213,8.445619,0.173,10.254463,0.219,8.550994,0.211
85,9.318329,0.137,10.849931,0.214,9.757454,0.175,9.484477,0.221,10.020869,0.208
86,9.495557,0.137,11.051914,0.215,9.171150,0.177,9.183343,0.220,8.924661,0.205
87,9.968615,0.135,10.619255,0.216,10.400603,0.176,9.498329,0.218,10.479595,0.205
88,8.472946,0.135,10.169293,0.211,13.078620,0.173,9.355967,0.220,8.804561,0.207
89,9.471542,0.133,11.410135,0.213,10.878168,0.177,11.155823,0.219,9.083817,0.207
90,8.821582,0.132,9.568939,0.219,9.545803,0.178,11.530519,0.216,10.176188,0.205
91,8.248439,0.132,15.359338,0.221,11.176407,0.180,10.491857,0.215,11.901562,0.203
92,8.914295,0.128,12.376985,0.223,9.443110,0.179,9.585064,0.213,8.810821,0.200
93,8.712243,0.129,10.737558,0.220,8.830688,0.179,11.018485,0.213,10.196332,0.204
94,8.632005,0.127,11.471341,0.218,9.866708,0.179,9.444462,0.213,9.159033,0.201
95,9.128776,0.127,10.752111,0.215,10.976086,0.179,8.878376,0.212,15.134276,0.199
96,9.767873,0.124,11.806050,0.217,10.622384,0.183,9.782571,0.212,11.862828,0.199
97,9.360724,0.121,10.258899,0.219,11.938153,0.181,11.362452,0.211,10.960440,0.199
98,10.227533,0.121,13.713620,0.225,11.132926,0.178,9.934253,0.211,13.215328,0.197
99,9.161620,0.123,10.435917,0.225,14.819470,0.179,9.622256,0.209,8.667472,0.197
