k,majorityvote time,majorityvote accuracy,averageminimumdistance mean time,averageminimumdistance mean accuracy,averageminimumdistance median time,averageminimumdistance median accuracy,weightedmajorityvote mean time,weightedmajorityvote mean accuracy,weightedmajorityvote median time, weightedmajorityvote median accuracy
66,2.356947,0.321,1.468431,0.158,1.021274,0.127,0.770487,0.363,0.741409,0.341
67,2.326131,0.324,1.378086,0.159,1.051406,0.131,0.794879,0.366,0.725243,0.342
68,2.406501,0.322,1.348218,0.160,1.073334,0.129,0.804168,0.367,0.730000,0.340
69,2.343995,0.319,1.395378,0.159,1.063892,0.127,0.777712,0.366,0.758075,0.341
70,2.795942,0.320,1.576176,0.165,1.065863,0.129,0.782107,0.365,0.786882,0.339
71,2.306178,0.323,1.345027,0.162,1.049334,0.123,0.835417,0.363,0.735882,0.336
72,2.379132,0.325,1.287858,0.161,1.051552,0.127,0.811006,0.363,0.772256,0.339
73,2.907083,0.323,1.377445,0.162,1.074702,0.126,0.827726,0.363,0.744079,0.336
74,2.329744,0.318,1.468517,0.164,1.043829,0.129,0.800527,0.360,0.752920,0.337
75,2.348368,0.316,1.477823,0.165,1.075391,0.131,0.788733,0.359,0.765875,0.340
76,2.487337,0.313,1.407469,0.164,1.045677,0.131,0.796695,0.358,0.782250,0.340
77,2.333988,0.313,1.431849,0.164,1.049699,0.132,0.812872,0.356,0.741416,0.343
78,2.815736,0.311,1.390530,0.163,1.066062,0.133,0.810754,0.356,0.731207,0.343
79,2.530915,0.315,1.558798,0.162,1.106436,0.132,0.768381,0.355,0.762528,0.346
80,2.364059,0.315,1.566569,0.166,1.077073,0.130,0.829444,0.354,0.744851,0.342
81,2.803109,0.315,1.444776,0.169,1.072695,0.130,0.848785,0.353,0.780350,0.342
82,2.392953,0.315,1.310739,0.168,1.116141,0.131,0.815239,0.352,0.767604,0.341
83,2.376488,0.318,1.552729,0.169,1.104474,0.134,0.811995,0.353,0.772629,0.343
84,2.369531,0.320,1.432044,0.166,1.108582,0.137,0.800084,0.350,0.799224,0.341
85,2.328810,0.317,1.494536,0.173,1.048582,0.137,0.788833,0.351,0.839620,0.341
86,2.519954,0.317,1.519040,0.175,1.054529,0.144,0.785271,0.353,0.757710,0.339
87,2.402072,0.315,1.516752,0.175,1.086437,0.141,0.816840,0.353,0.762088,0.340
88,2.754271,0.317,1.612676,0.182,1.059766,0.145,0.821330,0.354,0.759410,0.342
